compound_stem,SMILES,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13
A01703916,CC(C)(C)NC(=O)CCC1COc2ccccc2O1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01713793,CC(OC(=O)Cc1coc2cc(C)ccc12)C(=O)NCc1ccc2OCOc2c1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01715163,OC(=O)c1cccnc1SC1CC(=O)NC1=O,0,0,0,0,0,0,0,0,0,0,0,0,0
A01717111,Cc1nc2sc(C(N3CCOCC3)c3ccco3)c(O)n2n1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01720839,Cc1ccc(NC(=O)N2CCN(CC2)C(=O)C2CCCO2)cc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01725140,CN1C(=O)CCC11CCCN(CC1)C(=O)NCc1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01745485,CS(=O)(=O)N1CCCC2(CC(CO2)Nc2nccs2)C1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01770270,CC1(NC(=O)N(CC(=O)Nc2ccc(cc2)N2CCOCC2)C1=O)c1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01795395,O=c1n(-c2ccccc2)c(SCC2CCCCO2)nc2ccccc12,1,1,1,1,1,1,1,1,1,1,1,1,1
A01802191,CN1CCC2(CN(C2)C(=O)CCc2ccccc2)OCC1C(O)=O,0,0,0,0,0,0,0,0,0,0,0,0,0
A01820233,CCN1CCC2(CN(CC22CCN(CC2)C(=O)Cc2ccsc2)C(=O)N(C)C)C1=O,0,0,0,0,0,0,0,0,0,0,0,0,0
A01827652,COc1ccc(OC)c(c1)S(=O)(=O)N1CCCC1C(=O)N1CCc2ccccc2C1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01839977,CN(C1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2)C(=O)c1cncc(Br)c1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01845282,COc1ccc(NC(=O)c2ccc(OCC3CCCO3)cc2)cc1OC,0,0,0,0,0,0,0,0,0,0,0,0,0
A01847135,CC(C)N1CCC(CC1)N1CCN(CC1CCO)C1CCCCC1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01850593,C(OC1CC2CN(Cc3cccs3)CCN2C1)c1ccccn1,0,0,0,1,0,0,1,0,0,0,1,0,0
A01851918,CC(OCCN(C)C)C(=O)C12CC3CC(CC(C3)C1)C2,0,0,0,0,0,0,0,0,0,0,0,0,0
A01853173,Cc1cc(C(=O)CN2C(=O)NC3(CCCc4ccccc34)C2=O)c(C)n1Cc1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01860037,COCC(=O)N1CCCC2(CCC(=O)N2Cc2cccnc2)C1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01862735,CCn1nnc2C(COC)N(Cc3c(C)noc3C)CCc12,0,0,0,0,0,0,0,0,0,0,0,0,0
A01866180,OCCC1CN(Cc2ccc3OCCc3c2)CCN1C1CCCC1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01868141,COCCCN1CC2(CC1=O)CCCCN2C(=O)Cc1ccccc1,1,0,1,0,1,0,1,1,0,1,1,0,1
A01871953,CSCC(C)N1CCC(CC1)N1CCC(CC1)C(=O)NCc1ccccn1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01872420,COc1cccc(NC(=O)C(C)OC(=O)CCCNC(=O)c2ccc(Cl)cc2)c1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01872525,CCOCC1N(CCc2cnn(C)c12)C(=O)CCc1ccccc1C,0,0,0,0,0,0,0,0,0,0,0,0,0
A01886468,CC(NC(N)=O)C(=O)OCc1ccc(Cl)cc1Cl,0,0,0,0,0,0,0,0,0,0,0,0,0
A01900593,Cc1cc(=O)n2nc(sc2n1)N1CCCC(C1)C(=O)NCCc1ccc(Cl)cc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01932571,COc1ccc(cc1)N1CC(CC1=O)C(=O)N\N=C\c1c[nH]c2ccccc12,0,0,0,0,0,0,0,0,0,0,0,0,0
A01933904,CN1C(Cn2cccn2)CC2CN(CCC12)C(=O)C1CCOC1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01938631,COc1cc(OC)cc(c1)C(=O)Nc1ccccc1S(=O)(=O)N1CCCC1OC(C)=O,0,0,0,0,0,0,0,0,0,0,0,0,0
A01955742,CN(C)C1CCN(C(C1)C(O)=O)C(=O)c1ccncc1F,0,0,0,0,0,0,0,0,0,0,1,0,0
A01989175,CN(C)c1ccc(cc1)C(=O)NCC(N1CCOCC1)c1cccs1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01989413,O=C(NCC1CCCO1)C1CCCN(C1)c1ncccn1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01992877,COCC1COCCC11CCN(CC1)C(=O)CCc1ccccc1C,0,0,0,0,0,0,0,0,0,0,0,0,0
A01996366,CN1CCN(CC1)C(c1ccc(F)cc1)c1ccc2cccnc2c1O,0,0,0,0,0,0,0,0,0,0,0,0,0
A02012208,OC(C(N1CCOCC1)c1ccccc1)c1ccc(F)cc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A02015567,COCCN1CCCC11CCCN(C1)C(=O)c1ccno1,0,0,0,0,0,0,0,0,0,0,0,0,0
A02019837,CN1C(=O)N(C)C2(N(C)C(=O)NC12c1ccccc1)c1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A02034709,CC(C)N1C2CN(Cc3ccco3)CC2C[C@@H]1C(=O)NCC1CC1,0,0,0,0,0,0,0,0,0,0,0,0,0
A02055248,Cn1c2nc(N3CCOCC3)n(CC(O)COc3ccccc3)c2c(=O)[nH]c1=O,0,0,0,0,0,0,0,0,0,0,0,0,0
A02057108,CN(C)C1CCN(C1)C(=O)c1ccc2ccc(N(C)Cc3ccc(F)cc3)n2c1,0,0,0,0,0,0,0,0,0,0,0,0,0
A02061216,COc1ccc(cc1)C1C(C(O)=O)c2ccccc2C(=O)N1Cc1ccco1,0,0,0,0,0,0,0,0,0,0,0,0,0
A02065890,CC1N(CC2CC2)C(=O)COC11CCN(CC1)C(=O)c1ccc[nH]1,0,0,0,0,0,0,1,0,0,0,0,0,0
A02086537,CC1Cn2c(CCc3ccccc3)nnc2S1,0,0,0,0,0,0,0,0,0,0,0,0,0
A02099963,CN1CCCC(C1)OC(=O)C(c1ccccc1)c1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A02100809,CC(C)C(NS(=O)(=O)c1ccc2nc(C)sc2c1)C(=O)NCc1cccs1,0,0,0,0,0,0,0,0,0,0,0,0,0
A02109720,COc1ccc(cc1)C1C(C(=O)NCc2ccco2)c2ccccc2C(=O)N1C,0,0,0,0,0,0,0,0,0,0,0,0,0
A02156370,COCCN1C2(CCN(C2)C(=O)Cc2cccnc2)c2ccccc2S1(=O)=O,0,0,0,0,0,0,0,0,0,0,0,0,0
A02214146,O=C(CC1NC(=O)NC1=O)Nc1cccc2ccccc12,0,0,0,0,0,0,0,0,0,0,0,0,0
